Sequence,Packet loss,Jitter,VMAF,VIFp,SSIM,MS-SSIM,PSNR,PSNR-HVS,PSNR-HVS-M,PESQ,ViSQOL,POLQA,URL
Interview,0,0,84.82922298,0.71016755,0.968271270833333,0.988827797222222,35.7014090708333,31.0769096444444,33.2137117277778,3.998,4.39062,4.7,https://youtu.be/DR2U_UtWt0U
Interview,15,0,83.8345363013788,0.696657911111111,0.965598669444444,0.987690025,35.3765091347222,30.7159943833333,32.8085827972222,2.674,3.9866,3.54,https://youtu.be/MNyDiE8kN58
Interview,30,0,73.5418121968436,0.604200586111111,0.941182954166666,0.974732081944445,32.2865669791667,27.4057309791667,29.0994857208333,2.061,3.71391,2.29,https://youtu.be/qNTkuk7Y6mQ
Interview,45,0,62.4976887802062,0.503188315277778,0.922143984722222,0.964763704166666,29.3855946555556,24.3420327777778,25.6663966319444,1.667,3.47828,2.1,https://youtu.be/xbVhW-4pZtg
Interview,0,25,78.5331712097414,0.631989758333333,0.951091151388889,0.981401898611111,33.5762578138889,28.7642498208333,30.6330858527778,3.9,4.46567,4.65,https://youtu.be/Gc7oThWY8NI
Interview,0,50,63.5111664927717,0.510013955555556,0.918287461111111,0.962441308333333,29.6903637666667,24.8660675916667,26.4034434138889,3.464,4.36104,3.98,https://youtu.be/Qv0lVlMZnk4
Interview,0,75,50.3140313657813,0.398293204166667,0.864852726388889,0.904995770833333,26.4254304152778,21.3071697375,22.3661951180556,3.502,4.31231,4.52,https://youtu.be/70qJHe2MHus
Game,0,0,66.5150458786382,0.461257369444444,0.931917518055555,0.861538293055555,33.0300260777778,28.4656924444444,29.8090213111111,3.841,4.73035,4.77,https://youtu.be/wQKR5GKuqI8
Game,15,0,62.2364986902981,0.429200855555556,0.921689226388889,0.841519340277778,32.1074987388889,27.4426858152778,28.6285792736111,3.176,4.30314,3.79,https://youtu.be/jCqlCHG3-oY
Game,30,0,47.0937182496105,0.309468129166667,0.874150273611111,0.6849740875,27.1943373847222,22.4929536541667,23.2363289180556,2.097,4.14011,2.72,https://youtu.be/FY1OXUdc_bc
Game,45,0,33.063041254198,0.208435065277778,0.8032963875,0.438298279166667,22.2235523430556,17.6402571166667,18.027477875,1.282,3.79896,1.26,https://youtu.be/2SlkXGAdry0
Game,0,25,43.108038046984,0.282879705555555,0.862240076388889,0.658469394444444,26.4693923819444,21.7191195388889,22.3789287902778,3.686,4.59404,3.93,https://youtu.be/UZI3nXsCHrE
Game,0,50,36.128419747998,0.251477630555555,0.829022304166666,0.505473004166667,23.177880075,18.5315441791667,18.9615706194444,3.36,4.40424,4.68,https://youtu.be/B_y0ttfSjR0
Game,0,75,23.9566567774601,0.155859884722222,0.777973719444444,0.351344430555556,19.5108609694444,14.8939396486111,15.0908692930556,3.699,4.09584,4.62,https://youtu.be/RdlCZt50hJI
