Timestamp,Interview ideal conditions - MOS video,Interview ideal conditions - MOS audio,Interview 15% packet loss - MOS video,Interview 15% packet loss - MOS audio,Interview 25ms jitter - MOS video,Interview 25ms jitter - MOS audio,Interview 30% packet loss - MOS video,Interview 30% packet loss - MOS audio,Interview 50ms jitter - MOS video,Interview 50ms jitter - MOS audio,Interview 45% packet loss - MOS video,Interview 45% packet loss - MOS audio,Interview 75ms jitter - MOS video,Interview 75ms jitter - MOS audio,Game ideal conditions - MOS video,Game ideal conditions - MOS audio,Game 15% packet loss - MOS video,Game 15% packet loss - MOS audio,Game 25ms jitter - MOS video,Game 25ms jitter - MOS audio,Game 30% packet loss - MOS video,Game 30% packet loss - MOS audio,Game 50ms jitter - MOS video,Game 50ms jitter - MOS audio,Game 45% packet loss - MOS video,Game 45% packet loss - MOS audio,Game 75ms jitter - MOS video,Game 75ms jitter - MOS audio,Gender,Age,Country
2020/01/09 3:40:22 PM GMT+1,3,4,3,1,2,2,2,1,2,3,1,1,1,3,3,5,3,2,2,4,2,1,1,4,2,1,1,4,Male,27,Spain
2020/01/09 3:45:20 PM GMT+1,4,4,4,2,3,4,4,2,2,4,2,1,1,2,3,5,3,4,2,4,2,2,1,4,1,1,1,4,Male,27,Spain
2020/01/09 3:54:25 PM GMT+1,5,5,5,4,4,4,3,2,3,4,2,2,1,2,5,5,4,3,2,4,2,2,1,5,1,2,1,5,Male,42,Spain
2020/01/09 4:04:43 PM GMT+1,4,5,3,3,3,3,2,2,2,3,1,1,2,5,4,5,4,3,2,5,2,2,1,5,1,2,1,4,Male,24,Spain
2020/01/10 9:49:05 AM GMT+1,4,5,3,1,3,3,2,1,2,4,2,2,1,4,2,4,2,3,1,4,1,1,1,5,1,1,1,5,Male,25,Spain
2020/01/10 10:16:02 AM GMT+1,4,5,3,3,2,3,3,3,3,3,1,1,1,3,5,5,4,3,3,4,2,2,1,3,1,1,1,4,Male,26,Spain
2020/01/10 10:59:07 AM GMT+1,4,5,3,2,3,3,2,1,3,4,1,1,1,5,3,5,3,3,2,5,2,2,1,5,1,1,1,4,Male,24,Spain
2020/01/10 12:49:17 AM GMT+1,3,4,2,2,2,4,3,1,2,2,2,2,1,3,3,4,3,2,2,2,2,2,1,3,2,1,1,4,Male,30,Germany
2020/01/10 11:41:46 AM GMT+1,3,3,2,3,2,3,2,1,1,3,1,1,1,3,3,4,2,4,1,4,1,3,1,4,1,1,1,4,Male,30,USA
2020/01/10 11:45:39 AM GMT+1,3,4,3,3,2,3,2,1,2,3,1,1,2,3,4,4,3,2,2,3,1,1,1,4,1,1,1,4,Female,51,Ireland
2020/01/10 12:27:16 PM GMT+1,3,5,2,2,2,4,3,1,2,4,2,1,1,5,2,5,2,3,1,5,1,2,1,5,1,1,1,5,Male,30,Russia
2020/01/10 1:20:29 PM GMT+1,4,5,4,2,3,3,3,1,3,3,1,1,1,3,3,5,3,1,3,4,3,1,2,3,3,1,1,5,Male,31,Colombia
2020/01/10 3:28:19 PM GMT+1,4,4,3,2,3,3,3,1,3,3,3,1,1,2,3,4,4,3,2,3,2,2,1,4,1,1,1,4,Male,30,India
2020/01/10 5:24:30 PM GMT+1,3,4,2,3,2,4,1,2,1,4,1,1,1,4,4,5,4,5,2,5,2,3,1,4,3,2,1,5,Male,42,Mexico
2020/01/10 10:42:24 PM GMT+1,4,4,4,4,3,3,4,4,3,4,2,2,1,3,4,4,3,3,1,4,2,2,1,4,1,1,1,4,Male,43,Turkey
2020/01/12 12:58:10 PM GMT+1,3,3,3,4,3,4,3,3,3,4,3,3,2,3,3,4,3,3,3,4,3,3,2,4,2,2,2,4,Male,24,Pakistan
2020/01/13 2:20:14 AM GMT+1,4,5,4,3,3,4,3,2,2,4,2,2,1,4,4,5,4,3,2,5,2,3,1,4,1,2,1,5,Male,27,Russia
2020/01/13 1:08:55 PM GMT+1,5,5,4,3,3,4,2,2,2,4,1,2,1,4,4,5,4,5,2,4,3,3,2,5,1,2,1,4,Female,49,Spain
2020/01/13 8:25:42 PM GMT+1,4,5,5,5,4,5,3,2,3,4,4,3,2,4,4,5,4,3,3,4,3,2,1,4,4,1,1,4,Male,25,Mexico
2020/01/13 11:38:54 PM GMT+1,2,2,1,2,1,1,1,1,1,3,1,1,1,1,3,4,3,3,2,3,2,2,2,2,1,1,2,2,Female,37,Spain
2020/01/19 5:00:22 PM GMT+1,4,4,2,2,3,4,2,1,3,4,2,3,1,4,4,4,4,2,4,4,3,1,1,4,2,1,1,4,Female,42,Spain
2020/01/19 11:11:14 PM GMT+1,4,4,4,2,3,3,4,2,3,4,3,2,2,4,3,4,2,2,2,4,4,2,1,4,1,1,1,4,Male,43,UK
2020/01/21 8:34:47 AM GMT+1,4,3,2,2,2,2,4,1,2,3,2,1,1,5,4,4,3,2,2,5,3,1,1,5,3,1,1,4,Male,37,Spain
2020/01/22 2:50:37 PM GMT+1,3,2,2,2,2,3,2,2,2,3,2,1,1,2,3,3,3,1,1,3,3,1,1,3,1,1,1,3,Male,24,Spain
2020/01/24 12:31:55 PM GMT+1,4,4,4,4,3,3,3,2,2,3,2,2,2,3,3,4,3,4,2,4,2,3,1,3,1,1,1,3,Male,40,Spain
2020/01/24 12:58:34 PM GMT+1,5,5,5,3,4,5,5,1,3,5,4,1,2,5,5,5,5,4,3,5,2,3,1,5,2,1,1,5,Male,27,Spain
2020/01/24 1:02:40 PM GMT+1,3,4,4,1,2,3,3,2,2,4,2,1,2,4,3,4,3,2,2,5,2,1,2,4,1,1,1,3,Male,27,Spain
2020/01/24 1:13:56 PM GMT+1,3,3,4,2,2,3,4,1,2,4,2,1,1,3,5,5,4,3,3,5,2,3,1,4,1,1,1,5,Male,26,Spain
2020/01/24 1:46:49 PM GMT+1,4,5,5,2,4,4,5,1,3,4,2,1,2,4,4,4,3,3,2,5,1,2,1,5,1,1,1,4,Male,24,Spain
2020/01/24 2:50:59 PM GMT+1,4,4,4,3,3,3,4,2,3,3,3,1,2,4,3,4,3,4,3,4,2,3,1,4,2,2,1,4,Male,26,Spain
2020/01/28 11:22:41 AM GMT+1,2,1,4,5,1,5,1,3,4,4,2,5,1,5,1,5,2,4,1,3,1,2,1,5,3,5,1,5,Male,42,Spain
2020/01/31 12:07:10 PM GMT+1,3,4,5,5,2,5,4,4,5,5,3,5,3,5,3,5,4,5,3,5,1,2,1,5,4,5,1,5,Male,39,Spain
