VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
58.21025178,0.886572,30.582535,0.424944,0.955679,25.553467,27.043356
59.25242559,0.887916,30.706266,0.427015,0.956296,25.705873,27.241535
57.63212691,0.886948,30.490614,0.42511,0.9555,25.432688,26.880148
56.96308158,0.884982,30.07723,0.422151,0.953644,24.963371,26.268679
54.97818842,0.881699,29.320782,0.415478,0.95011,24.169775,25.287395
56.19347858,0.884066,29.802549,0.419374,0.953581,24.603455,25.837074
57.1648841,0.885512,29.955381,0.422034,0.954012,24.821114,26.091959
59.60534109,0.890276,30.138788,0.434635,0.956541,25.08856,26.363165
60.55591881,0.891719,30.568958,0.437925,0.958739,25.444565,26.819588
61.97888002,0.893173,31.027287,0.439994,0.959917,25.977509,27.508947
60.85096752,0.891826,30.542572,0.43776,0.957364,25.50355,26.883406
60.88202601,0.891703,30.657728,0.437551,0.957802,25.555143,26.953987
61.38727845,0.891946,30.740894,0.43872,0.957999,25.708918,27.134182
62.08243773,0.894365,31.175554,0.441116,0.960686,26.117331,27.69038
62.25670009,0.894786,31.221766,0.442521,0.960975,26.165934,27.749775
61.32442112,0.892622,30.811037,0.43917,0.959452,25.696894,27.145243
62.29135528,0.894976,31.206537,0.443266,0.960956,26.147703,27.733294
64.32764955,0.899243,31.633581,0.454305,0.963027,26.63998,28.33683
63.68958708,0.898619,31.499002,0.452681,0.962503,26.470631,28.119984
63.11018009,0.898247,31.435204,0.451846,0.962134,26.384861,28.00526
60.48942957,0.893262,30.618954,0.441869,0.95728,25.439077,26.779776
63.48529424,0.898238,31.415359,0.451696,0.961719,26.380383,27.989967
62.56138809,0.895495,30.980654,0.447668,0.958038,25.861858,27.300789
62.45658532,0.895274,30.820383,0.446357,0.957786,25.67951,27.072323
62.67799963,0.895415,30.844273,0.447296,0.957764,25.707006,27.097086
61.90543622,0.895136,30.661325,0.446088,0.956047,25.517675,26.83386
61.51735278,0.893697,30.462788,0.443053,0.954564,25.300322,26.572432
64.32735977,0.902138,31.453175,0.457306,0.962834,26.402124,27.950672
65.5309406,0.903781,31.742678,0.461911,0.964622,26.7146,28.369959
67.09946299,0.90642,32.104752,0.470159,0.966547,27.146341,28.916149
67.37276243,0.907042,32.203209,0.471633,0.966951,27.268465,29.084526
67.87528152,0.907314,32.259811,0.473056,0.967157,27.335203,29.161457
67.8390597,0.9068,32.181618,0.47114,0.966829,27.242369,29.052494
67.59733595,0.905414,32.092751,0.469849,0.965022,27.145473,28.896494
67.66078759,0.905809,32.13802,0.471167,0.965406,27.20067,28.968952
66.13567418,0.903152,31.75202,0.464557,0.962499,26.761799,28.40077
67.12820256,0.908086,31.780828,0.475678,0.965169,26.812887,28.417562
68.70110205,0.91107,32.342564,0.48261,0.967672,27.480553,29.299759
69.26000511,0.912573,32.53405,0.485565,0.969144,27.704853,29.602711
68.12469517,0.911134,32.321835,0.478695,0.968004,27.462158,29.301737
68.73350855,0.911644,32.340851,0.481327,0.96858,27.455406,29.292519
69.56452919,0.913085,32.554775,0.48586,0.969408,27.705345,29.60774
69.44218084,0.913024,32.515518,0.48506,0.969351,27.641317,29.51915
68.05206889,0.910812,32.170101,0.478149,0.967566,27.195591,28.909933
69.05093889,0.912658,32.465733,0.484738,0.969229,27.560461,29.397686
68.56676032,0.913399,32.391541,0.484768,0.969227,27.448767,29.229958
65.98105188,0.907595,31.645626,0.471379,0.964999,26.534716,28.018049
67.84931661,0.911352,32.097656,0.480117,0.96775,27.068609,28.69577
66.87584766,0.907702,31.6311,0.472025,0.964943,26.484159,27.916008
69.30415951,0.913929,32.318146,0.486941,0.969154,27.323992,29.014795
69.60830576,0.914579,32.346474,0.488284,0.969464,27.353214,29.051016
67.18240862,0.912327,30.520285,0.485003,0.964681,25535,26.676701
67.2044854,0.912561,30.494789,0.488125,0.963851,25.491505,26.588394
66.65750101,0.911196,30.25342,0.487869,0.962399,25.11305,26.137789
71.93020497,0.923205,32.620636,0.521868,0.971104,27.460722,28.912245
73.76358221,0.924811,32.774021,0.527515,0.972055,27.646067,29.146465
73.23659016,0.923329,32.295059,0.527412,0.968099,27.20039,28.539146
75.47995353,0.929127,33.494545,0.538604,0.974195,28.65682,30.457825
75.23878197,0.92859,33.303818,0.537144,0.974194,28.444185,30.197832
74.6954463,0.929455,33.166649,0.538526,0.973818,28.236851,29.901749
75.69148749,0.931149,33.577919,0.543573,0.97539,28.715668,30.536001
76.14649945,0.932988,33.991489,0.548266,0.977517,29.163158,31.174963
74.89542423,0.933565,33.650105,0.548814,0.976761,28.671919,30.435606
70.43246345,0.924277,32.310452,0.524896,0.969795,27.089552,28.412876
70.9691148,0.92511,32.496227,0.526907,0.970541,27.322992,28.703976
64.78444027,0.903585,30.214865,0.492962,0.952045,24.741774,25.614943
62.07322867,0.890033,29.051893,0.480338,0.937375,23.472132,24.168308
64.35613978,0.89925,29.731745,0.494436,0.946569,24.198685,24.968884
56.13212343,0.855518,26.522997,0.44797,0.886717,20.881014,21.323298
49.63941738,0.814474,21.464861,0.414118,0.789858,16.566442,16.748703
50.88250267,0.819404,21.651703,0.420344,0.808841,16.754206,16.940798
40.57268972,0.796653,20.922337,0.37828,0.694067,15.958492,16.150991
41.01192601,0.804024,21.234676,0.388496,0.725373,16.253084,16.453255
41.2572128,0.804297,21.232811,0.389801,0.72567,16.249981,16.449755
52.52599918,0.824215,20.326883,0.411086,0.715318,15.662502,15.811216
62.08935681,0.875481,23.728077,0.457129,0.815625,19.033348,19.262051
53.61154144,0.839546,22.568079,0.424105,0.753689,17.657692,17.863539
